Symbol,Date,Open,High,Low,Close,Percent Change,Volume
PRIN,24/01/2024,836,836,800.1,813.9,-0.74%,"13,180.00"
PROFL,24/01/2024,320,327,317,318,-0.63%,"23,730.00"
PRSF,24/01/2024,8.5,8.68,8.5,8.68,2.72%,"2,100.00"
PRVU,24/01/2024,156,160.9,156,157,-0.82%,"108,834.00"
PSF,24/01/2024,8.48,8.65,8.48,8.5,-1.51%,"32,060.00"
RADHI,24/01/2024,284,286.7,270,271.5,-3.04%,"79,269.00"
RAWA,24/01/2024,452,453.2,435.8,437,-1.58%,"12,224.00"
RBCL,24/01/2024,14115.1,14270,14113.1,14270,-0.07%,155
RBCLPO,24/01/2024,11050,11100,10961,10961,-0.35%,110
RFPL,24/01/2024,308.7,319.4,304.2,316,0.35%,"65,800.00"
RHGCL,24/01/2024,273.3,278,265.1,266,-0.75%,"14,720.00"
RHPL,24/01/2024,310,320,301,301,-2.59%,"54,249.00"
RIDI,24/01/2024,297.7,301,281.9,284,-2.74%,"149,668.00"
RLFL,24/01/2024,388.8,389,370.5,380,-0.50%,"29,852.00"
RMF1,24/01/2024,7.68,7.8,7.56,7.8,-0.38%,"6,900.00"
RMF2,24/01/2024,8.21,8.3,8.21,8.3,1.10%,"1,900.00"
RNLI,24/01/2024,580,581,569,572,0.18%,"93,152.00"
RSDC,24/01/2024,560.1,565,552.2,559.9,0.16%,"8,245.00"
RURU,24/01/2024,731,739,725,739,0.96%,551
SABSL,24/01/2024,649.9,650,640,648,-0.29%,446
SADBL,24/01/2024,308,308,300,300.2,-0.60%,"26,774.00"
SAEF,24/01/2024,9.98,9.98,9.81,9.89,-1.10%,"30,200.00"
SAGF,24/01/2024,8.89,8.9,8.89,8.89,0.00%,"1,150.00"
SAHAS,24/01/2024,560,568,550,551.2,-3.13%,"25,334.00"
SALICO,24/01/2024,715,715,701.1,701.1,-0.27%,"7,352.00"
SAMAJ,24/01/2024,394.3,410.1,394.3,410.1,6.08%,30
SANIMA,24/01/2024,250.8,251.9,245.8,249,1.26%,"51,553.00"
SAPDBL,24/01/2024,259,262.9,254,254,-0.31%,"9,523.00"
SBCF,24/01/2024,7.71,8.1,7.71,8.1,5.06%,"40,150.00"
SBI,24/01/2024,304.3,304.3,297,299,0.17%,"8,644.00"
SBID83,24/01/2024,986,986,986,986,0.00%,50
SBID89,24/01/2024,991.7,991.7,991.7,971.8,-2.01%,6
SBL,24/01/2024,240,241.9,237,238.8,-0.29%,"40,782.00"
SBLD2082,24/01/2024,1003,1003,1002,1002,-0.79%,190
SBLD84,24/01/2024,849.7,868,849.7,855,-1.38%,92
SCB,24/01/2024,535,535,528,531.1,0.59%,"23,280.00"
SDLBSL,24/01/2024,660,671,648,650,0.00%,"1,424.00"
SEF,24/01/2024,7.74,7.98,7.61,7.89,0.00%,"64,900.00"
SENFLOAT,24/01/2024,125.33,126.96,125.01,125.31,-0.18%,"909,003,842.80"
SENSITIVE,24/01/2024,380.91,386.52,379.67,380.43,-0.19%,"925,053,691.00"
SFCL,24/01/2024,310,319,306,309,-0.32%,"27,643.00"
SFEF,24/01/2024,8.24,8.24,8.08,8.24,-1.90%,"2,700.00"
SFMF,24/01/2024,9.68,9.78,9.68,9.78,-0.91%,"13,223.00"
SGHC,24/01/2024,323.4,336,317,318.5,-3.48%,"20,663.00"
SGIC,24/01/2024,550,563,540,551.8,0.35%,"55,266.00"
SHEL,24/01/2024,239,243.7,235.1,236,0.43%,"7,834.00"
SHINE,24/01/2024,392,399.7,386.4,386.5,-1.40%,"67,790.00"
SHIVM,24/01/2024,505,515,498.9,501.5,-0.30%,"84,746.00"
SHL,24/01/2024,483,483,463.3,467.3,-1.41%,"170,197.00"
SHLB,24/01/2024,925.1,1008,925.1,990,5.32%,545
SHPC,24/01/2024,360,365.1,351.9,354.5,-1.20%,"32,740.00"
SICL,24/01/2024,741,741,718.2,725,-0.68%,"26,633.00"
SIFC,24/01/2024,360,360,348,354,0.03%,"3,994.00"
SIGS2,24/01/2024,7.95,8.03,7.95,7.99,0.00%,"51,975.00"
SIKLES,24/01/2024,488.1,497,481,492,0.80%,"5,405.00"
SINDU,24/01/2024,312.1,312.1,303,303,-0.98%,"16,144.00"
SJCL,24/01/2024,302,313,298,299,-0.66%,"13,711.00"
SJLIC,24/01/2024,521,528.8,518,520,-0.19%,"22,179.00"
SKBBL,24/01/2024,882,882.3,864,864,-0.12%,"10,478.00"
SLBBL,24/01/2024,657.9,671,637,640,-0.78%,"6,293.00"
SLBSL,24/01/2024,862.9,862.9,807,823.2,-2.70%,"1,189.00"
SLCF,24/01/2024,7.8,7.96,7.8,7.83,0.13%,"14,750.00"
SLK,24/01/2024,10.49,10.49,10.49,10.49,0.00%,0
SMATA,24/01/2024,632.1,648,627,627,-0.81%,"1,639.00"
SMB,24/01/2024,951.1,988,951.1,970,0.00%,219
SMFBS,24/01/2024,905,910,890,906,0.11%,"1,501.00"
SMH,24/01/2024,575,595.6,575,585.2,1.42%,"4,737.00"
SMHL,24/01/2024,438,461.9,435.2,436,-2.02%,"10,705.00"
SMJC,24/01/2024,346.1,362,343,345,-2.27%,"43,287.00"
SNLI,24/01/2024,592.9,609.9,592.9,595,-1.65%,"76,367.00"
SONA,24/01/2024,478,498,469.1,469.2,-3.26%,"171,707.00"
SPC,24/01/2024,487,510.9,480.1,484.5,1.36%,"9,321.00"
SPDL,24/01/2024,270.1,274.8,257.1,261,-3.15%,"90,971.00"
SPHL,24/01/2024,447,464.1,447,452.1,-0.62%,"4,769.00"
SPIL,24/01/2024,738,750,733,738,0.00%,"20,719.00"
SPL,24/01/2024,665.1,719.7,665.1,671.1,0.92%,"4,085.00"
SRLI,24/01/2024,465,471,460.7,465,0.22%,"22,634.00"
SSHL,24/01/2024,190,190.5,180,181,-3.10%,"96,634.00"
STC,24/01/2024,5350,5350,5211,5211,-1.31%,"1,215.00"
SWBBL,24/01/2024,802,806,775,775,-1.52%,"18,754.00"
SWMF,24/01/2024,662.5,675,655.1,664,-0.90%,"4,679.00"
TAMOR,24/01/2024,417,423,398.2,406,-3.33%,"65,010.00"
TPC,24/01/2024,653.7,705,600.3,600.3,-10.00%,"38,555.00"
TRADING,24/01/2024,2839.49,2876.82,2808.53,2808.53,-1.09%,"6,853,082.00"
TRH,24/01/2024,852,865,820,828,-3.16%,"13,277.00"
TSHL,24/01/2024,548.8,566.1,539,541.4,-3.32%,"13,897.00"
TVCL,24/01/2024,537.9,548.6,511,523.1,-0.82%,"17,935.00"
UAIL,24/01/2024,645,645,626,627,-1.10%,"12,625.00"
UHEWA,24/01/2024,332.3,348,328.2,333,-1.77%,"5,985.00"
ULBSL,24/01/2024,1126,1132,1100,1114,0.91%,"1,446.00"
ULHC,24/01/2024,313.1,320,302.9,308,-3.30%,"18,609.00"
UMHL,24/01/2024,275,278,268.6,270.5,0.19%,"98,061.00"
UMRH,24/01/2024,392.8,399,378.3,385,-0.03%,"85,877.00"
UNHPL,24/01/2024,227.4,230,216,217.9,-2.29%,"55,186.00"
UNL,24/01/2024,39800,39800,39300,39393,0.96%,100
UNLB,24/01/2024,1166.8,1234,1111,1139.9,-0.36%,745
UPCL,24/01/2024,232.5,236,224.5,224.6,-1.49%,"125,745.00"
UPPER,24/01/2024,229.2,229.2,218,220,-2.14%,"119,674.00"
USHEC,24/01/2024,328,347,328,335,2.13%,"15,660.00"
USHL,24/01/2024,525,534.9,490,524,-0.25%,"18,719.00"
USLB,24/01/2024,932,1007,932,946,-0.42%,"3,750.00"
VLBS,24/01/2024,659.5,659.5,633.7,650,0.53%,"1,203.00"
VLUCL,24/01/2024,521,530,509,509.4,-2.41%,"28,559.00"
WNLB,24/01/2024,868,870,843,859,0.17%,366
